id,claim,sentence,evidence,role
10,32% of liver transplantation programs required patients to discontinue methadone treatment in 2001.,"Intravenous drug use, the major risk factor, accounts for approximately 60% of hepatitis C virus transmission.",False,BACKGROUND
11,32% of liver transplantation programs required patients to discontinue methadone treatment in 2001.,Information from the United Network of Organ Sharing (UNOS) does not address substance use among liver transplantation patients.,False,BACKGROUND
12,32% of liver transplantation programs required patients to discontinue methadone treatment in 2001.,ObjectiveTo identify addiction-related criteria for admission to the UNOS liver transplantation waiting list and posttransplantation problems experienced by patients who are prescribed maintenance methadone.,False,OBJECTIVE
13,32% of liver transplantation programs required patients to discontinue methadone treatment in 2001.,"Design, Setting, and ParticipantsMail survey of all 97 adult US liver transplantation programs (belonging to UNOS) in March 2000 with telephone follow-up conducted in May and June 2000.Main Outcome MeasuresPrograms' acceptance and management of patients with past or present substance use disorder.",False,METHODS
14,32% of liver transplantation programs required patients to discontinue methadone treatment in 2001.,"ResultsOf the 97 programs surveyed, 87 (90%) responded.",False,METHODS
15,32% of liver transplantation programs required patients to discontinue methadone treatment in 2001.,"All accept applicants with a history of alcoholism or other addictions, including heroin dependence.",False,METHODS
16,32% of liver transplantation programs required patients to discontinue methadone treatment in 2001.,Eighty-eight percent of the responding programs require at least 6 months of abstinence from alcohol; 83% from illicit drugs.,False,RESULTS
17,32% of liver transplantation programs required patients to discontinue methadone treatment in 2001.,Ninety-four percent have addiction treatment requirements.,False,RESULTS
18,32% of liver transplantation programs required patients to discontinue methadone treatment in 2001.,Consultations from substance abuse specialists are obtained by 86%.,False,RESULTS
19,32% of liver transplantation programs required patients to discontinue methadone treatment in 2001.,Patients receiving methadone maintenance are accepted by 56% of the responding programs.,False,RESULTS
20,32% of liver transplantation programs required patients to discontinue methadone treatment in 2001.,Approximately 180 patients receiving methadone maintenance are reported to have undergone liver transplantation.,False,RESULTS
21,32% of liver transplantation programs required patients to discontinue methadone treatment in 2001.,ConclusionsMost liver transplantation programs have established policies for patients with substance use disorders.,False,CONCLUSIONS
22,32% of liver transplantation programs required patients to discontinue methadone treatment in 2001.,Opiate-dependent patients receiving opiate replacement therapy seem underrepresented in transplantation programs.,False,CONCLUSIONS
23,32% of liver transplantation programs required patients to discontinue methadone treatment in 2001.,Little anecdotal evidence for negative impact of opiate replacement therapy on liver transplantation outcome was found.,False,CONCLUSIONS
24,32% of liver transplantation programs required patients to discontinue methadone treatment in 2001.,Policies requiring discontinuation of methadone in 32% of all programs contradict the evidence base for efficacy of long-term replacement therapies and potentially result in relapse of previously stable patients.,True,CONCLUSIONS
25,40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.,CONTEXT High plasma homocysteine levels are a risk factor for mortality and vascular disease in observational studies of patients with chronic kidney disease.,False,OBJECTIVE
26,40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.,"Folic acid and B vitamins decrease homocysteine levels in this population but whether they lower mortality is unknown.   
",False,OBJECTIVE
27,40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.,"OBJECTIVE To determine whether high doses of folic acid and B vitamins administered daily reduce mortality in patients with chronic kidney disease.   
",False,OBJECTIVE
28,40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.,"DESIGN, SETTING, AND PARTICIPANTS Double-blind randomized controlled trial (2001-2006) in 36 US Department of Veterans Affairs medical centers.",False,METHODS
29,40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.,"Median follow-up was 3.2 years for 2056 participants aged 21 years or older with advanced chronic kidney disease (estimated creatinine clearance < or =30 mL/min) (n = 1305) or end-stage renal disease (n = 751) and high homocysteine levels (> or = 15 micromol/L).   
",False,METHODS
30,40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.,"INTERVENTION Participants received a daily capsule containing 40 mg of folic acid, 100 mg of pyridoxine hydrochloride (vitamin B6), and 2 mg of cyanocobalamin (vitamin B12) or a placebo.   
",False,METHODS
31,40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.,MAIN OUTCOME MEASURES The primary outcome was all-cause mortality.,False,METHODS
32,40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.,"Secondary outcomes included myocardial infarction (MI), stroke, amputation of all or part of a lower extremity, a composite of these 3 plus all-cause mortality, time to initiation of dialysis, and time to thrombosis of arteriovenous access in hemodialysis patients.   
",False,METHODS
33,40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.,RESULTS Mean baseline homocysteine level was 24.0 micromol/L in the vitamin group and 24.2 micromol/L in the placebo group.,True,RESULTS
34,40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.,"It was lowered 6.3 micromol/L (25.8%; P < .001) in the vitamin group and 0.4 micromol/L (1.7%; P = .14) in the placebo group at 3 months, but there was no significant effect on mortality (448 vitamin group deaths vs 436 placebo group deaths) (hazard ratio [HR], 1.04; 95% CI, 0.91-1.18).",False,RESULTS
35,40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.,"No significant effects were demonstrated for secondary outcomes or adverse events: there were 129 MIs in the vitamin group vs 150 for placebo (HR, 0.86; 95% CI, 0.67-1.08), 37 strokes in the vitamin group vs 41 for placebo (HR, 0.90; 95% CI, 0.58-1.40), and 60 amputations in the vitamin group vs 53 for placebo (HR, 1.14; 95% CI, 0.79-1.64).",False,RESULTS
36,40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.,"In addition, the composite of MI, stroke, and amputations plus mortality (P = .85), time to dialysis (P = .38), and time to thrombosis in hemodialysis patients (P = .97) did not differ between the vitamin and placebo groups.   
",False,RESULTS
37,40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.,"CONCLUSION Treatment with high doses of folic acid and B vitamins did not improve survival or reduce the incidence of vascular disease in patients with advanced chronic kidney disease or end-stage renal disease.   
",True,CONCLUSIONS
38,40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.,TRIAL REGISTRATION clinicaltrials.gov Identifier: NCT00032435.,False,CONCLUSIONS
39,76-85% of people with severe mental disorder receive no treatment in low and middle income countries.,"CONTEXT Little is known about the extent or severity of untreated mental disorders, especially in less-developed countries.   
",False,BACKGROUND
40,76-85% of people with severe mental disorder receive no treatment in low and middle income countries.,"OBJECTIVE To estimate prevalence, severity, and treatment of Diagnostic and Statistical Manual of Mental Disorders, Fourth Edition (DSM-IV) mental disorders in 14 countries (6 less developed, 8 developed) in the World Health Organization (WHO) World Mental Health (WMH) Survey Initiative.   
",False,OBJECTIVE
41,76-85% of people with severe mental disorder receive no treatment in low and middle income countries.,"DESIGN, SETTING, AND PARTICIPANTS Face-to-face household surveys of 60 463 community adults conducted from 2001-2003 in 14 countries in the Americas, Europe, the Middle East, Africa, and Asia.   
",False,METHODS
42,76-85% of people with severe mental disorder receive no treatment in low and middle income countries.,"MAIN OUTCOME MEASURES The DSM-IV disorders, severity, and treatment were assessed with the WMH version of the WHO Composite International Diagnostic Interview (WMH-CIDI), a fully structured, lay-administered psychiatric diagnostic interview.   
",False,METHODS
43,76-85% of people with severe mental disorder receive no treatment in low and middle income countries.,"RESULTS The prevalence of having any WMH-CIDI/DSM-IV disorder in the prior year varied widely, from 4.3% in Shanghai to 26.4% in the United States, with an interquartile range (IQR) of 9.1%-16.9%.",False,RESULTS
44,76-85% of people with severe mental disorder receive no treatment in low and middle income countries.,"Between 33.1% (Colombia) and 80.9% (Nigeria) of 12-month cases were mild (IQR, 40.2%-53.3%).",False,RESULTS
45,76-85% of people with severe mental disorder receive no treatment in low and middle income countries.,Serious disorders were associated with substantial role disability.,False,RESULTS
46,76-85% of people with severe mental disorder receive no treatment in low and middle income countries.,"Although disorder severity was correlated with probability of treatment in almost all countries, 35.5% to 50.3% of serious cases in developed countries and 76.3% to 85.4% in less-developed countries received no treatment in the 12 months before the interview.",True,RESULTS
47,76-85% of people with severe mental disorder receive no treatment in low and middle income countries.,"Due to the high prevalence of mild and subthreshold cases, the number of those who received treatment far exceeds the number of untreated serious cases in every country.   
",False,CONCLUSIONS
48,76-85% of people with severe mental disorder receive no treatment in low and middle income countries.,CONCLUSIONS Reallocation of treatment resources could substantially decrease the problem of unmet need for treatment of mental disorders among serious cases.,False,CONCLUSIONS
49,76-85% of people with severe mental disorder receive no treatment in low and middle income countries.,Structural barriers exist to this reallocation.,False,CONCLUSIONS
50,76-85% of people with severe mental disorder receive no treatment in low and middle income countries.,"Careful consideration needs to be given to the value of treating some mild cases, especially those at risk for progressing to more serious disorders.",False,CONCLUSIONS
51,A T helper 2 cell (Th2) environment impedes disease development in patients with systemic lupus erythematosus (SLE).,"In systemic lupus erythematosus (SLE), self-reactive antibodies can target the kidney (lupus nephritis), leading to functional failure and possible mortality.",False,BACKGROUND
52,A T helper 2 cell (Th2) environment impedes disease development in patients with systemic lupus erythematosus (SLE).,"We report that activation of basophils by autoreactive IgE causes their homing to lymph nodes, promoting T helper type 2 (T(H)2) cell differentiation and enhancing the production of self-reactive antibodies that cause lupus-like nephritis in mice lacking the Src family protein tyrosine kinase Lyn (Lyn(-/-) mice).",True,BACKGROUND
53,A T helper 2 cell (Th2) environment impedes disease development in patients with systemic lupus erythematosus (SLE).,"Individuals with SLE also have elevated serum IgE, self-reactive IgEs and activated basophils that express CD62 ligand (CD62L) and the major histocompatibility complex (MHC) class II molecule human leukocyte antigen-DR (HLA-DR), parameters that are associated with increased disease activity and active lupus nephritis.",True,RESULTS
54,A T helper 2 cell (Th2) environment impedes disease development in patients with systemic lupus erythematosus (SLE).,Basophils were also present in the lymph nodes and spleen of subjects with SLE.,False,RESULTS
55,A T helper 2 cell (Th2) environment impedes disease development in patients with systemic lupus erythematosus (SLE).,"Thus, in Lyn(-/-) mice, basophils and IgE autoantibodies amplify autoantibody production that leads to lupus nephritis, and in individuals with SLE IgE autoantibodies and activated basophils are factors associated with disease activity and nephritis.",True,RESULTS
56,A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.,"CONTEXT The growth inhibitory effect of tamoxifen, which is used for the treatment of hormone receptor-positive breast cancer, is mediated by its metabolites, 4-hydroxytamoxifen and endoxifen.",False,OBJECTIVE
57,A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.,"The formation of active metabolites is catalyzed by the polymorphic cytochrome P450 2D6 (CYP2D6) enzyme.   
",False,OBJECTIVE
58,A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.,"OBJECTIVE To determine whether CYP2D6 variation is associated with clinical outcomes in women receiving adjuvant tamoxifen.   
",False,OBJECTIVE
59,A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.,"DESIGN, SETTING, AND PATIENTS Retrospective analysis of German and US cohorts of patients treated with adjuvant tamoxifen for early stage breast cancer.",False,METHODS
60,A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.,The 1325 patients had diagnoses between 1986 and 2005 of stage I through III breast cancer and were mainly postmenopausal (95.4%).,False,METHODS
61,A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.,"Last follow-up was in December 2008; inclusion criteria were hormone receptor positivity, no metastatic disease at diagnosis, adjuvant tamoxifen therapy, and no chemotherapy.",False,METHODS
62,A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.,"DNA from tumor tissue or blood was genotyped for CYP2D6 variants associated with reduced (*10, *41) or absent (*3, *4, *5) enzyme activity.",False,METHODS
63,A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.,"Women were classified as having an extensive (n=609), heterozygous extensive/intermediate (n=637), or poor (n=79) CYP2D6 metabolism.   
",False,METHODS
64,A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.,"MAIN OUTCOME MEASURES Time to recurrence, event-free survival, disease-free survival, and overall survival.   
",False,METHODS
65,A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.,RESULTS Median follow-up was 6.3 years.,False,RESULTS
66,A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.,"At 9 years of follow-up, the recurrence rates were 14.9% for extensive metabolizers, 20.9% for heterozygous extensive/intermediate metabolizers, and 29.0% for poor metabolizers, and all-cause mortality rates were 16.7%, 18.0%, and 22.8%, respectively.",True,RESULTS
67,A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.,"Compared with extensive metabolizers, there was a significantly increased risk of recurrence for heterozygous extensive/intermediate metabolizers (time to recurrence adjusted hazard ratio [HR], 1.40; 95% confidence interval [CI], 1.04-1.90) and for poor metabolizers (time to recurrence HR, 1.90; 95% CI, 1.10-3.28).",True,RESULTS
68,A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.,"Compared with extensive metabolizers, those with decreased CYP2D6 activity (heterozygous extensive/intermediate and poor metabolism) had worse event-free survival (HR, 1.33; 95% CI, 1.06-1.68) and disease-free survival (HR, 1.29; 95% CI, 1.03-1.61), but there was no significant difference in overall survival (HR, 1.15; 95% CI, 0.88-1.51).   
",True,RESULTS
69,A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.,"CONCLUSION Among women with breast cancer treated with tamoxifen, there was an association between CYP2D6 variation and clinical outcomes, such that the presence of 2 functional CYP2D6 alleles was associated with better clinical outcomes and the presence of nonfunctional or reduced-function alleles with worse outcomes.",True,CONCLUSIONS
70,A country's Vaccine Alliance (GAVI) eligibility is not indictivate of accelerated adoption of the Hub vaccine.,BACKGROUND Adoption of new and underutilized vaccines by national immunization programs is an essential step towards reducing child mortality.,False,BACKGROUND
71,A country's Vaccine Alliance (GAVI) eligibility is not indictivate of accelerated adoption of the Hub vaccine.,Policy decisions to adopt new vaccines in high mortality countries often lag behind decisions in high-income countries.,False,BACKGROUND
72,A country's Vaccine Alliance (GAVI) eligibility is not indictivate of accelerated adoption of the Hub vaccine.,"Using the case of Haemophilus influenzae type b (Hib) vaccine, this paper endeavors to explain these delays through the analysis of country-level economic, epidemiological, programmatic and policy-related factors, as well as the role of the Global Alliance for Vaccines and Immunisation (GAVI Alliance).   
",False,BACKGROUND
73,A country's Vaccine Alliance (GAVI) eligibility is not indictivate of accelerated adoption of the Hub vaccine.,METHODS AND FINDINGS Data for 147 countries from 1990 to 2007 were analyzed in accelerated failure time models to identify factors that are associated with the time to decision to adopt Hib vaccine.,False,METHODS
74,A country's Vaccine Alliance (GAVI) eligibility is not indictivate of accelerated adoption of the Hub vaccine.,"In multivariable models that control for Gross National Income, region, and burden of Hib disease, the receipt of GAVI support speeded the time to decision by a factor of 0.37 (95% CI 0.18-0.76), or 63%.",False,RESULTS
75,A country's Vaccine Alliance (GAVI) eligibility is not indictivate of accelerated adoption of the Hub vaccine.,The presence of two or more neighboring country adopters accelerated decisions to adopt by a factor of 0.50 (95% CI 0.33-0.75).,False,RESULTS
76,A country's Vaccine Alliance (GAVI) eligibility is not indictivate of accelerated adoption of the Hub vaccine.,"For each 1% increase in vaccine price, decisions to adopt are delayed by a factor of 1.02 (95% CI 1.00-1.04).",False,RESULTS
77,A country's Vaccine Alliance (GAVI) eligibility is not indictivate of accelerated adoption of the Hub vaccine.,"Global recommendations and local studies were not associated with time to decision.   
",False,RESULTS
78,A country's Vaccine Alliance (GAVI) eligibility is not indictivate of accelerated adoption of the Hub vaccine.,CONCLUSIONS This study substantiates previous findings related to vaccine price and presents new evidence to suggest that GAVI eligibility is associated with accelerated decisions to adopt Hib vaccine.,True,CONCLUSIONS
79,A country's Vaccine Alliance (GAVI) eligibility is not indictivate of accelerated adoption of the Hub vaccine.,"The influence of neighboring country decisions was also highly significant, suggesting that approaches to support the adoption of new vaccines should consider supply- and demand-side factors.",False,CONCLUSIONS
80,A deficiency of folate increases blood levels of homocysteine.,BACKGROUND Lowering serum homocysteine levels with folic acid is expected to reduce mortality from ischemic heart disease.,False,BACKGROUND
81,A deficiency of folate increases blood levels of homocysteine.,"Homocysteine reduction is known to be maximal at a folic acid dosage of 1 mg/d, but the effect of lower doses (relevant to food fortification) is unclear.   
",False,BACKGROUND
82,A deficiency of folate increases blood levels of homocysteine.,"METHODS We randomized 151 patients with ischemic heart disease to 1 of 5 dosages of folic acid (0.2, 0.4, 0.6, 0.8, and 1.0 mg/d) or placebo.",False,METHODS
83,A deficiency of folate increases blood levels of homocysteine.,"Fasting blood samples for serum homocysteine and serum folate analysis were taken initially, after 3 months of supplementation, and 3 months after folic acid use was discontinued.   
",False,METHODS
84,A deficiency of folate increases blood levels of homocysteine.,"RESULTS Median serum homocysteine level decreased with increasing folic acid dosage, to a maximum at 0.8 mg of folic acid per day, when the homocysteine reduction (placebo adjusted) was 2.7 micromol/L (23%), similar to the known effect of folic acid dosages of 1 mg/d and above.",True,RESULTS
85,A deficiency of folate increases blood levels of homocysteine.,"The higher a person's initial serum homocysteine level, the greater was the response to folic acid, but there were statistically significant reductions regardless of the initial level.",False,RESULTS
86,A deficiency of folate increases blood levels of homocysteine.,Serum folate level increased approximately linearly (5.5 nmol/L for every 0.1 mg of folic acid).,False,RESULTS
87,A deficiency of folate increases blood levels of homocysteine.,"Within-person fluctuations over time in serum homocysteine levels, measured in the placebo group, were large compared with the effect of folic acid, indicating that monitoring of the reduction in an individual is impractical.   
",False,CONCLUSIONS
88,A deficiency of folate increases blood levels of homocysteine.,CONCLUSIONS A dosage of folic acid of 0.8 mg/d appears necessary to achieve the maximum reduction in serum homocysteine level across the range of homocysteine levels in the population.,False,CONCLUSIONS
89,A deficiency of folate increases blood levels of homocysteine.,Current US food fortification levels will achieve only a small proportion of the achievable homocysteine reduction.,False,CONCLUSIONS
90,A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.,"Importance Despite lack of evidence of their utility, biomarkers of ovarian reserve are being promoted as potential markers of reproductive potential.",False,BACKGROUND
91,A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.,Objective To determine the associations between biomarkers of ovarian reserve and reproductive potential among women of late reproductive age.,False,OBJECTIVE
92,A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.,"Design, Setting, and Participants Prospective time-to-pregnancy cohort study (2008 to date of last follow-up in March 2016) of women (N = 981) aged 30 to 44 years without a history of infertility who had been trying to conceive for 3 months or less, recruited from the community in the Raleigh-Durham, North Carolina, area.",False,METHODS
93,A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.,"Exposures Early-follicular-phase serum level of antimüllerian hormone (AMH), follicle-stimulating hormone (FSH), and inhibin B and urinary level of FSH.",False,METHODS
94,A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.,Main Outcomes and Measures The primary outcomes were the cumulative probability of conception by 6 and 12 cycles of attempt and relative fecundability (probability of conception in a given menstrual cycle).,False,METHODS
95,A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.,Conception was defined as a positive pregnancy test result.,False,METHODS
96,A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.,"Results A total of 750 women (mean age, 33.3 [SD, 3.2] years; 77% white; 36% overweight or obese) provided a blood and urine sample and were included in the analysis.",False,RESULTS
97,A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.,"After adjusting for age, body mass index, race, current smoking status, and recent hormonal contraceptive use, women with low AMH values (<0.7 ng/mL [n = 84]) did not have a significantly different predicted probability of conceiving by 6 cycles of attempt (65%; 95% CI, 50%-75%) compared with women (n = 579) with normal values (62%; 95% CI, 57%-66%) or by 12 cycles of attempt (84% [95% CI, 70%-91%] vs 75% [95% CI, 70%-79%], respectively).",True,RESULTS
98,A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.,"Women with high serum FSH values (>10 mIU/mL [n = 83]) did not have a significantly different predicted probability of conceiving after 6 cycles of attempt (63%; 95% CI, 50%-73%) compared with women (n = 654) with normal values (62%; 95% CI, 57%-66%) or after 12 cycles of attempt (82% [95% CI, 70%-89%] vs 75% [95% CI, 70%-78%], respectively).",True,RESULTS
99,A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.,"Women with high urinary FSH values (>11.5 mIU/mg creatinine [n = 69]) did not have a significantly different predicted probability of conceiving after 6 cycles of attempt (61%; 95% CI, 46%-74%) compared with women (n = 660) with normal values (62%; 95% CI, 58%-66%) or after 12 cycles of attempt (70% [95% CI, 54%-80%] vs 76% [95% CI, 72%-80%], respectively).",True,RESULTS
100,A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.,"Inhibin B levels (n = 737) were not associated with the probability of conceiving in a given cycle (hazard ratio per 1-pg/mL increase, 0.999; 95% CI, 0.997-1.001).",True,RESULTS
101,A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.,"Conclusions and Relevance Among women aged 30 to 44 years without a history of infertility who had been trying to conceive for 3 months or less, biomarkers indicating diminished ovarian reserve compared with normal ovarian reserve were not associated with reduced fertility.",True,CONCLUSIONS
102,A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.,These findings do not support the use of urinary or blood follicle-stimulating hormone tests or antimüllerian hormone levels to assess natural fertility for women with these characteristics.,False,CONCLUSIONS
103,"A diminished ovarian reserve is a very strong indicator of infertility, even in an a priori non-infertile population.","Importance Despite lack of evidence of their utility, biomarkers of ovarian reserve are being promoted as potential markers of reproductive potential.",False,BACKGROUND
104,"A diminished ovarian reserve is a very strong indicator of infertility, even in an a priori non-infertile population.",Objective To determine the associations between biomarkers of ovarian reserve and reproductive potential among women of late reproductive age.,False,OBJECTIVE
105,"A diminished ovarian reserve is a very strong indicator of infertility, even in an a priori non-infertile population.","Design, Setting, and Participants Prospective time-to-pregnancy cohort study (2008 to date of last follow-up in March 2016) of women (N = 981) aged 30 to 44 years without a history of infertility who had been trying to conceive for 3 months or less, recruited from the community in the Raleigh-Durham, North Carolina, area.",False,METHODS
106,"A diminished ovarian reserve is a very strong indicator of infertility, even in an a priori non-infertile population.","Exposures Early-follicular-phase serum level of antimüllerian hormone (AMH), follicle-stimulating hormone (FSH), and inhibin B and urinary level of FSH.",False,METHODS
107,"A diminished ovarian reserve is a very strong indicator of infertility, even in an a priori non-infertile population.",Main Outcomes and Measures The primary outcomes were the cumulative probability of conception by 6 and 12 cycles of attempt and relative fecundability (probability of conception in a given menstrual cycle).,False,METHODS
108,"A diminished ovarian reserve is a very strong indicator of infertility, even in an a priori non-infertile population.",Conception was defined as a positive pregnancy test result.,False,METHODS
109,"A diminished ovarian reserve is a very strong indicator of infertility, even in an a priori non-infertile population.","Results A total of 750 women (mean age, 33.3 [SD, 3.2] years; 77% white; 36% overweight or obese) provided a blood and urine sample and were included in the analysis.",False,RESULTS
110,"A diminished ovarian reserve is a very strong indicator of infertility, even in an a priori non-infertile population.","After adjusting for age, body mass index, race, current smoking status, and recent hormonal contraceptive use, women with low AMH values (<0.7 ng/mL [n = 84]) did not have a significantly different predicted probability of conceiving by 6 cycles of attempt (65%; 95% CI, 50%-75%) compared with women (n = 579) with normal values (62%; 95% CI, 57%-66%) or by 12 cycles of attempt (84% [95% CI, 70%-91%] vs 75% [95% CI, 70%-79%], respectively).",True,RESULTS
111,"A diminished ovarian reserve is a very strong indicator of infertility, even in an a priori non-infertile population.","Women with high serum FSH values (>10 mIU/mL [n = 83]) did not have a significantly different predicted probability of conceiving after 6 cycles of attempt (63%; 95% CI, 50%-73%) compared with women (n = 654) with normal values (62%; 95% CI, 57%-66%) or after 12 cycles of attempt (82% [95% CI, 70%-89%] vs 75% [95% CI, 70%-78%], respectively).",True,RESULTS
112,"A diminished ovarian reserve is a very strong indicator of infertility, even in an a priori non-infertile population.","Women with high urinary FSH values (>11.5 mIU/mg creatinine [n = 69]) did not have a significantly different predicted probability of conceiving after 6 cycles of attempt (61%; 95% CI, 46%-74%) compared with women (n = 660) with normal values (62%; 95% CI, 58%-66%) or after 12 cycles of attempt (70% [95% CI, 54%-80%] vs 76% [95% CI, 72%-80%], respectively).",True,RESULTS
113,"A diminished ovarian reserve is a very strong indicator of infertility, even in an a priori non-infertile population.","Inhibin B levels (n = 737) were not associated with the probability of conceiving in a given cycle (hazard ratio per 1-pg/mL increase, 0.999; 95% CI, 0.997-1.001).",True,RESULTS
114,"A diminished ovarian reserve is a very strong indicator of infertility, even in an a priori non-infertile population.","Conclusions and Relevance Among women aged 30 to 44 years without a history of infertility who had been trying to conceive for 3 months or less, biomarkers indicating diminished ovarian reserve compared with normal ovarian reserve were not associated with reduced fertility.",True,CONCLUSIONS
115,"A diminished ovarian reserve is a very strong indicator of infertility, even in an a priori non-infertile population.",These findings do not support the use of urinary or blood follicle-stimulating hormone tests or antimüllerian hormone levels to assess natural fertility for women with these characteristics.,False,CONCLUSIONS
116,A high microerythrocyte count protects against severe anemia in homozygous alpha (+)- thalassemia trait subjects.,BACKGROUND The heritable haemoglobinopathy alpha(+)-thalassaemia is caused by the reduced synthesis of alpha-globin chains that form part of normal adult haemoglobin (Hb).,False,OBJECTIVE
117,A high microerythrocyte count protects against severe anemia in homozygous alpha (+)- thalassemia trait subjects.,Individuals homozygous for alpha(+)-thalassaemia have microcytosis and an increased erythrocyte count.,True,OBJECTIVE
118,A high microerythrocyte count protects against severe anemia in homozygous alpha (+)- thalassemia trait subjects.,"Alpha(+)-thalassaemia homozygosity confers considerable protection against severe malaria, including severe malarial anaemia (SMA) (Hb concentration < 50 g/l), but does not influence parasite count.",False,OBJECTIVE
